"BY","stock","surv","stockName","jurisdiction","smoltType","adultRunTiming","region","lat","long"
1996,"KLM",0.0093,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1997,"KLM",0.0172,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1998,"KLM",0.0125,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1999,"KLM",0.0126,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2000,"KLM",0.0044,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2001,"KLM",0.005,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2002,"KLM",0.0051,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2003,"KLM",0.0122,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2004,"KLM",0.006,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2005,"KLM",0.0189,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2006,"KLM",0.0114,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2007,"KLM",0.0074,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2008,"KLM",0.0035,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2009,"KLM",0.0029,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2010,"KLM",0.004,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2011,"KLM",0.0168,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2012,"KLM",0.0038,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2013,"KLM",NA,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
2014,"KLM",NA,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1971,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1972,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1973,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1974,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1975,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1976,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1977,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1978,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1979,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1980,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1981,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1982,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1983,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1984,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1985,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1986,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1987,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1988,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1989,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1990,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1991,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1992,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1993,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1994,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1995,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1996,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1997,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1998,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1999,"KLY",0.0696,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2000,"KLY",0.13,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2001,"KLY",0.0705,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2002,"KLY",0.1149,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2003,"KLY",0.103,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2004,"KLY",0.0877,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2005,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2006,"KLY",0.0532,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2007,"KLY",0.0387,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2008,"KLY",0.0295,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2009,"KLY",0.0086,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2010,"KLY",0.0596,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2011,"KLY",0.04,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2012,"KLY",0.0043,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2013,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
2014,"KLY",NA,"Kitsumkalum River Yearling","BC","streamtype","Summer","NBC","54.520959","-128.660892"
1971,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1972,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1973,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1974,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1975,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1976,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1977,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1978,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1979,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1980,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1981,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1982,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1983,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1984,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1985,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1986,"ATN",0.0095,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1987,"ATN",0.0146,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1988,"ATN",0.0244,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1989,"ATN",0.0274,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1990,"ATN",0.0388,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1991,"ATN",0.0489,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1992,"ATN",0.0226,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1993,"ATN",0.0217,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1994,"ATN",0.0338,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1995,"ATN",0.0291,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1996,"ATN",0.0172,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1997,"ATN",0.0051,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1998,"ATN",0.0214,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1999,"ATN",0.0133,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2000,"ATN",0.0136,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2001,"ATN",0.0336,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2002,"ATN",0.0182,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2003,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2004,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2005,"ATN",0.0225,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2006,"ATN",0.0109,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2007,"ATN",0.016,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2008,"ATN",0.0079,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2009,"ATN",0.0215,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2010,"ATN",0.0349,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2011,"ATN",0.0659,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2012,"ATN",0.0485,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2013,"ATN",0.0208,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
2014,"ATN",NA,"Atnarko River Summer","BC","oceantype","Summer","CBC","52.376631","-126.093529"
1971,"RBT",NA,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1972,"RBT",NA,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1973,"RBT",0.0348,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1974,"RBT",0.201,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1975,"RBT",0.1007,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1976,"RBT",0.1238,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1977,"RBT",0.0303,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1978,"RBT",0.0711,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1979,"RBT",0.0652,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1980,"RBT",0.0495,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1981,"RBT",0.0351,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1982,"RBT",0.0172,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1983,"RBT",0.0012,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1984,"RBT",0.0439,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1985,"RBT",0.0421,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1986,"RBT",0.0956,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1987,"RBT",0.097,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1988,"RBT",0.1297,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1989,"RBT",0.0987,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1990,"RBT",0.0554,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1991,"RBT",0.0111,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1992,"RBT",3e-04,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1993,"RBT",0.0223,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1994,"RBT",0.0468,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1995,"RBT",0.0042,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1996,"RBT",0.0015,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1997,"RBT",7e-04,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1998,"RBT",0.0366,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1999,"RBT",0.0558,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2000,"RBT",0.0411,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2001,"RBT",0.0684,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2002,"RBT",0.0287,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2003,"RBT",0.0501,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2004,"RBT",0.0064,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2005,"RBT",0.0302,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2006,"RBT",0.008,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2007,"RBT",0.0455,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2008,"RBT",0.0108,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2009,"RBT",0.0035,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2010,"RBT",0.0184,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2011,"RBT",0.0024,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2012,"RBT",0.044,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2013,"RBT",0.0319,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
2014,"RBT",0.0612,"Robertson Creek Fall","BC","oceantype","Fall","WCVI","49.246176","-124.820148"
1971,"PPS",NA,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1972,"PPS",NA,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1973,"PPS",NA,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1974,"PPS",NA,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1975,"PPS",0.0471,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1976,"PPS",0.1276,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1977,"PPS",0.0193,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1978,"PPS",0.0226,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1979,"PPS",0.0091,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1980,"PPS",0.0215,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1981,"PPS",0.0087,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1982,"PPS",0.0075,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1983,"PPS",0.0052,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1984,"PPS",0.0075,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1985,"PPS",0.0023,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1986,"PPS",0.0076,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1987,"PPS",0.0022,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1988,"PPS",0.0049,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1989,"PPS",0.0068,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1990,"PPS",0.0023,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1991,"PPS",0.0011,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1992,"PPS",0.001,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1993,"PPS",0.0035,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1994,"PPS",0.0018,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1995,"PPS",NA,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1996,"PPS",0.0043,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1997,"PPS",0.0178,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1998,"PPS",0.0106,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1999,"PPS",0.0049,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2000,"PPS",0.0066,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2001,"PPS",0.0053,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2002,"PPS",0.01,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2003,"PPS",0.0093,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2004,"PPS",0.0032,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2005,"PPS",0.0098,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2006,"PPS",0.0053,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2007,"PPS",0.0081,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2008,"PPS",0.0074,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2009,"PPS",0.0022,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2010,"PPS",0.0046,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2011,"PPS",0.0093,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2012,"PPS",0.0061,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2013,"PPS",0.0127,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
2014,"PPS",NA,"Puntledge River Summer","BC","oceantype","Summer","ECVI","49.696529","-124.995198"
1971,"QUI",NA,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1972,"QUI",NA,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1973,"QUI",NA,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1974,"QUI",0.0896,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1975,"QUI",0.0207,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1976,"QUI",0.0904,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1977,"QUI",0.0262,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1978,"QUI",0.0481,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1979,"QUI",0.0245,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1980,"QUI",0.0302,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1981,"QUI",0.0769,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1982,"QUI",0.0423,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1983,"QUI",0.0368,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1984,"QUI",0.0463,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1985,"QUI",0.0127,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1986,"QUI",0.0249,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1987,"QUI",0.0126,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1988,"QUI",0.0115,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1989,"QUI",0.0023,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1990,"QUI",0.006,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1991,"QUI",0.0067,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1992,"QUI",0.003,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1993,"QUI",0.0069,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1994,"QUI",0.0085,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1995,"QUI",0.0093,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1996,"QUI",0.0168,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1997,"QUI",0.0194,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1998,"QUI",0.0134,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
1999,"QUI",0.0102,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2000,"QUI",0.009,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2001,"QUI",0.0121,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2002,"QUI",0.0088,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2003,"QUI",0.0101,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2004,"QUI",0.0059,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2005,"QUI",0.0086,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2006,"QUI",0.0016,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2007,"QUI",0.0067,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2008,"QUI",0.0091,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2009,"QUI",0.0031,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2010,"QUI",0.003,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
2011,"QUI",0.0043,"Quinsam River Fall","BC","oceantype","Fall","ECVI","50.037646","-125.29471"
