"brood_year","stock","stock_name","smolt","run","region","lat","long","j_group","j_group2","j_group3","a_group","a_group2","survival","M"
"2017","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",NA,NA
"1971","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1972","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1973","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1974","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1975","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1976","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1977","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1978","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1979","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1980","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1981","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1982","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1983","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1984","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1985","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1986","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.009471605,4.65945690356814
"1987","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.01452979,4.23155425436055
"1988","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.02433405,3.71587867488076
"1989","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.02741225,3.59676528520676
"1990","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.03876349,3.25027645473337
"1991","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.04883919,3.01922221464375
"1992","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.02258152,3.79062340631722
"1993","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.0217003,3.83042919364649
"1994","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.03378563,3.38771971482316
"1995","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.02912802,3.53605468148469
"1996","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.01716793,4.06471217045532
"1997","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.00501482,5.29535775053541
"1998","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.02128065,3.8499570698624
"1999","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.01320057,4.32749526850394
"2000","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.01356266,4.30043485051602
"2001","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.03348098,3.39677776258257
"2002","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.01815609,4.00874923736121
"2003","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"2004","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"2005","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.02236388,3.80030812159854
"2006","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.01097301,4.51231665764609
"2007","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.01599604,4.13541408737554
"2008","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.008011863,4.82683196067573
"2009","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.02167786,3.83146381576978
"2010","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.03509884,3.34958719748948
"2011","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.06110099,2.79522720998986
"2012","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.03380836,3.38704716979788
"2013","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.009460457,4.6606345884171
"2014","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.01561414,4.15957836501195
"2015","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.02232284,3.80214490942
"2016","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",0.01678764,4.08711237762921
"2017","ATN","Atnarko River","oceantype","summer","CBC",52.376631,-126.093529,"north","north","north_oceantype","north","north",NA,NA
"1971","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1972","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1973","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1974","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1975","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1976","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1977","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1978","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1979","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1980","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1981","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1982","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1983","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1984","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1985","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1986","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1987","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1988","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1989","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1990","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",0.02357788,3.74744629461536
"1991","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",0.04314958,3.1430825949879
"1992","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",0.03168011,3.45206623981972
"1993","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",0.0579273,2.84856650293493
"1994","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1995","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1996","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1997","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1998","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1999","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2000","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2001","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2002","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2003","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2004","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2005","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2006","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2007","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",0.007678406,4.8693433054478
"2008","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",0.08792903,2.43122526715441
"2009","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",0.04490658,3.10317094708683
"2010","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",0.0691922,2.67086713947453
"2011","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",0.06570591,2.72256640319932
"2012","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2013","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2014","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2015","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2016","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"2017","ATS","Atnarko Yearling","streamtype","spring","CBC",52.376631,-126.093529,"north","north","north_streamtype","offshore","offshore",NA,NA
"1971","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",NA,NA
"1972","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",NA,NA
"1973","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.09381175,2.36646516429063
"1974","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.2544448,1.36867136239113
"1975","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.09349959,2.36979822772385
"1976","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.2062038,1.57889027885909
"1977","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.03817479,3.26557992887489
"1978","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.02054552,3.88511236667259
"1979","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.008875062,4.72450995772957
"1980","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.008258323,4.79653373869633
"1981","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.01861436,3.98382195312413
"1982","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.02986019,3.51122912386388
"1983","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.0263241,3.63727040958071
"1984","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.004213205,5.46953163825617
"1985","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.004419904,5.42163730258541
"1986","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.01308627,4.33619169001017
"1987","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.005236933,5.25201925735074
"1988","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.01128464,4.48431276997469
"1989","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.006867232,4.98099416514656
"1990","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.007739825,4.86137620145523
"1991","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.00409605,5.49773218428819
"1992","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.001167854,6.75258740238925
"1993","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.005762632,5.15636096419721
"1994","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.004021479,5.5161055335659
"1995","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.002297795,6.07580531154181
"1996","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.003843856,5.56127924955392
"1997","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.005616255,5.18209020730654
"1998","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.00529238,5.24148722880701
"1999","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.004809954,5.33706775831976
"2000","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.002697908,5.91527862111081
"2001","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.006746635,4.99871141691789
"2002","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.005413117,5.21893019676945
"2003","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.01302255,4.34107280884376
"2004","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.001582179,6.44895226812338
"2005","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.007436627,4.901337893151
"2006","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.00742847,4.90243536339539
"2007","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.005321075,5.23607992837233
"2008","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.005571424,5.19010460242096
"2009","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.004233459,5.46473588958692
"2010","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.003958723,5.53183378046938
"2011","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.01574807,4.15103746090163
"2012","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.01002031,4.60314124568024
"2013","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.006594714,5.0214868599397
"2014","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.01157328,4.45905628616365
"2015","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.004388489,5.42877030248646
"2016","BQR","Big Qualicum River Fall","oceantype","fall","ECVI",49.39884,-124.609144,"salish","sog","sog_oceantype","south","salish",0.01159084,4.45754014798411
