stock,stock_name,jurisdiction,smoltType,adultRunTiming,region,oey_lat,oey_long,hatch_lat,hatch_long
NAN,Nanaimo River Fall,BC,oceantype,Fall,ECVI,49.137895,-123.895779,49.137895,-123.895779
NIC,Nicola River Spring,BC,streamtype,Spring,MFR,50.427138,-121.316685,50.427138,-121.316685
NIS,Nisqually Fall Fingerling,WA,oceantype,Fall,SPGSD,47.0857,-122.7073,47.0857,-122.7073
NKS,Nooksack Spring Yearling,WA,streamtype,Spring,NPGSD,48.7841,-122.5883,48.7841,-122.5883
NSA,NE Alaska Spring,AK,streamtype,Spring,SEAK,59.237124,-135.398152,59.237124,-135.398152
NSF,Nooksack Spring Fingerling,WA,oceantype,Spring,NPGSD,48.7841,-122.5883,48.7841,-122.5883
PHI,Phillips River Fall,BC,oceantype,Fall,SBC,50.556483,-125.36941,50.556483,-125.36941
PPS,Puntledge River Summer,BC,oceantype,Summer,ECVI,49.696529,-124.995198,49.696529,-124.995198
QUE,Queets Fall Fingerling,WA,oceantype,Fall,WACST,47.5425,-124.3539,47.5425,-124.3539
QUI,Quinsam River Fall,BC,oceantype,Fall,ECVI,50.037646,-125.29471,50.037646,-125.29471
RBT,Robertson Creek Fall,BC,oceantype,Fall,WCVI,49.246176,-124.820148,49.246176,-124.820148
SAM,Samish Fall Fingerling,WA,oceantype,Fall,NPGSD,48.5564,-122.4605,48.5564,-122.4605
SHU,Lower Shuswap River Summer,BC,oceantype,Summer,MFR,50.721419,-119.046825,50.721419,-119.046825
SKF,Skagit Spring Fingerling,WA,oceantype,Spring,NPGSD,48.3873,-122.3686,48.3873,-122.3686
SKS,Skagit Spring Yearling,WA,streamtype,Spring,NPGSD,48.3873,-122.3686,48.3873,-122.3686
SKY,Skykomish Fall Fingerling,WA,oceantype,Summer,NPGSD,48.0173,-122.1898,48.0173,-122.1898
SMK,Okanagan-Similkameen Summer,CR,oceantype,Summer,UCOLR,49.2225,-119.9755,48.950826,-119.483754
SOO,Sooes Fall Fingerling,WA,oceantype,Fall,WACST,48.3215,-124.6572,48.3215,-124.6572
SPR,Spring Creek Tule,CR,oceantype,Fall,MCOLR,46.215,-123.862,45.728213,-121.556077
SPS,South Puget Sound Fall Fingerling,WA,oceantype,Fall,SPGSD,47.0261,-122.9068,47.0261,-122.9068
SPY,South Puget Sound Fall Yearling,WA,streamtype,Fall,SPGSD,47.5676,-122.3486,47.5676,-122.3486
SQP,Squaxin Pens Fall Yearling,WA,streamtype,Fall,SPGSD,47.134101,-123.081839,47.134101,-123.081839
SRH,Salmon River,OR,oceantype,Fall,ORCST,45.0478,-124.0061,45.0478,-124.0061
SSA,SE Alaska Spring,AK,streamtype,Spring,SEAK,58.115577,-134.9623,58.115577,-134.9623
SSF,Skagit Summer Fingerling,WA,oceantype,Summer,NPGSD,48.3873,-122.3686,48.3873,-122.3686
STI,Stikine River,AK,streamtype,Spring,TBR,56.691,-132.213,56.691,-132.213
STL,Stillaguamish Fall Fingerling,WA,oceantype,Summer,NPGSD,48.2381,-122.3767,48.2381,-122.3767
SUM,Columbia River Summer,CR,oceantype,Summer,UCOLR,46.215,-123.862,47.947552,-119.855902
TAK,Taku River,AK,streamtype,Spring,TBR,58.4199,-133.9971,58.4199,-133.9971
TST,Transboundary Rivers,AK,streamtype,Spring,TBR,NA,NA,56.399572,-130.797802
UNU,Unuk River,AK,streamtype,Spring,SEAK,56.0772,-131.0753,56.0772,-131.0753
URB,Columbia River Upriver Bright,CR,oceantype,Fall,UCOLR,46.215,-123.862,46.645249,-119.790029
UWA,University of Washington Accelerated,WA,oceantype,Fall,SPGSD,47.647441,-122.306637,47.647441,-122.306637
WRY,White River Spring Yearling,WA,streamtype,Spring,SPGSD,47.2506,-122.4157,47.2506,-122.4157
WSH,Willamette Spring,CR,streamtype,Spring,LCOLR,46.215,-123.862,45.298314,-122.692325
