"stock","stock_name","gen_year_range","surv_year_range","size_year_range","lifehistory","run","juv_fine","juv_int1","juv_int2","juv_coarse","adult_fine","adult_int1","adult_int2","adult_coarse"
"NIC","Nicola River Spring","1985-2015","1985-2017","1985-2018","yearling","spring","sog","sog","salish","salish","offshore","offshore","offshore","offshore"
"PHI","Phillips River Fall","2009-2015","2009-2018","2010-2018","subyearling","fall","sog","sog","salish","salish","north","north","north","shelf"
"PPS","Puntledge River Summer","1975-2015","1975-2018","1975-2018","subyearling","summer","sog","sog","salish","salish","north","north","north","shelf"
"QUI","Quinsam River Fall","1974-2015","1974-2018","1974-2018","subyearling","fall","sog","sog","salish","salish","north","north","north","shelf"
"SHU","Lower Shuswap River Summer","1978-2015","1978-2018","1978-2018","subyearling","summer","sog","sog","salish","salish","north","north","north","shelf"
"ELW","Elwha River","1982-2014","1982-2016","1982-2018","subyearling","fall","puget","puget","salish","salish","puget","south","south","shelf"
"GAD","George Adams Fall Fingerling","1972-2014","1978-2017","1972-2018","subyearling","fall","puget","puget","salish","salish","puget","south","south","shelf"
"GRN","Green River","1971-2014","1971-2017","1971-2018","subyearling","fall","puget","puget","salish","salish","puget","south","south","shelf"
"NIS","Nisqually Fall Fingerling","1979-2014","1979-2017","1979-2018","subyearling","fall","puget","puget","salish","salish","puget","south","south","shelf"
"NKS","Nooksack Spring Yearling","1981-1996","1981-1996","1981-1996","yearling","spring","puget","puget","salish","salish","puget","south","south","shelf"
"NSF","Nooksack Spring Fingerling","1988-2014","1988-2016","1988-2018","subyearling","spring","puget","puget","salish","salish","puget","south","south","shelf"
"SAM","Samish Fall Fingerling","1974-2014","1974-2016","1974-2018","subyearling","fall","puget","puget","salish","salish","puget","south","south","shelf"
"SKF","Skagit Spring Fingerling","1985-2014","1985-2016","1985-2018","subyearling","spring","puget","puget","salish","salish","puget","south","south","shelf"
"SKS","Skagit Spring Yearling","1981-2010","1981-2010","1981-2010","yearling","spring","puget","puget","salish","salish","puget","south","south","shelf"
"SKY","Skykomish Fall Fingerling","2000-2014","2000-2016","2000-2018","subyearling","summer","puget","puget","salish","salish","puget","south","south","shelf"
"SPS","South Puget Sound Fall Fingerling","1971-2015","1971-2017","1978-1979","subyearling","fall","puget","puget","salish","salish","puget","south","south","shelf"
"SPY","South Puget Sound Fall Yearling","1978-2013","1978-2013","1978-2013","yearling","fall","puget","puget","salish","salish","puget","south","south","shelf"
"SQP","Squaxin Pens Fall Yearling","1986-1997","1986-1997","1986-1997","yearling","fall","puget","puget","salish","salish","puget","south","south","shelf"
"SSF","Skagit Summer Fingerling","1994-2014","1994-2016","1976-2018","subyearling","summer","puget","puget","salish","salish","puget","south","south","shelf"
"STL","Stillaguamish Fall Fingerling","1982-2014","1980-2016","1980-2018","subyearling","summer","puget","puget","salish","salish","puget","south","south","shelf"
"UWA","University of Washington Accelerated","1975-1984","1975-1984","1975-1984","subyearling","fall","puget","puget","salish","salish","puget","south","south","shelf"
"WRY","White River Spring Yearling","2002-2014","1974-2015","1974-2015","yearling","spring","puget","puget","salish","salish","puget","south","south","shelf"
"ELK","Elk River","1979-2014","1979-2017","1977-2017","subyearling","fall","south","south","south","shelf","north","north","north","shelf"
"HOK","Hoko Falls","1985-2014",NA,"1985-2018","subyearling","fall","south","south","south","shelf","north","north","north","shelf"
"QUE","Queets Fall Fingerling","1977-2015","1977-2017","1977-2018","subyearling","fall","south","south","south","shelf","north","north","north","shelf"
"RBT","Robertson Creek Fall","1973-2015","1973-2018","1973-2018","subyearling","fall","south","south","south","shelf","north","north","north","shelf"
"SOO","Sooes Fall Fingerling","1985-2014",NA,"1985-2018","subyearling","fall","south","south","south","shelf","north","north","north","shelf"
"SRH","Salmon River","1976-2014","1976-2017","1976-2017","subyearling","fall","south","south","south","shelf","north","north","north","shelf"
"CWF","Cowlitz Fall Tule","1977-2014","1977-2017","1977-2017","subyearling","fall","col","south","south","shelf","broad","broad","south","shelf"
"HAN","Hanford Wild Brights","1986-2014","1986-2017","1986-2001","subyearling","fall","col","south","south","shelf","north","north","north","shelf"
"LRH","Lower River Hatchery Tule","1976-2014","1976-2017","1976-2017","subyearling","fall","col","south","south","shelf","broad","broad","south","shelf"
"LRW","Lewis River Wild","1977-2014","1977-2017","1977-2017","subyearling","fall","col","south","south","shelf","broad","broad","south","shelf"
"LYF","Lyons Ferry Fingerling","1984-2014","1984-2017","1984-2017","subyearling","fall","col","south","south","shelf","north","north","north","shelf"
"LYY","Lyons Ferry Yearling","1984-2013","1984-2016","1984-2016","yearling","fall","col","south","south","shelf","north","north","north","shelf"
"SMK","Okanagan-Similkameen Summer","1989-2013","1989-2015",NA,"subyearling","summer","col","south","south","shelf","north","north","north","shelf"
"SPR","Spring Creek Tule","1972-2014","1972-2017","1972-2016","subyearling","fall","col","south","south","shelf","north","north","north","shelf"
"SUM","Columbia River Summer","1975-2014","1975-2016","1975-2017","subyearling","summer","col","south","south","shelf","north","north","north","shelf"
"URB","Columbia River Upriver Bright","1975-2014","1975-2017","1975-2017","subyearling","fall","col","south","south","shelf","north","north","north","shelf"
"WSH","Willamette Spring","1975-2013","1975-2016","1975-2016","yearling","spring","col","south","south","shelf","north","north","north","shelf"
